id,open_edges
356,1272-1362-1366-1368-1370-1372-1388-1404-1410-1452-1470-1509-1518-1526-1548-1550-1552-1584-1594-1720-1740-1801-1976-1993-2012-2155-2186-2380-2585-2737-2811-2950-3156-3450-3877-3906-3908-3910-3927-3966-3972-4138-4414-4471-4545-4551-4580-4915-5148-5191-5430-5720-5756-5814-5837-5838-5840-6004-6450-6457-6516-6544-6620-6755-6870-6940-7062-7127-7556-7697-7720-7935-8016-8020-8317-8318-8560-8665-8910-8921-8929-8936-8977-8988-9012-9036-9084-9213-9464-9496-9568-9570-9610-9708-9722-9781-9786-9798-9814-9880-9914-9918-9924-9974-9978-10104-10107-10230-10242-10280-10296-10310-10328-10360-10502-10504-10506-10632-10647-10662-10664-10974-11065-11122-11138-11162-11442-11502-11530-11658-11686-11688-11761-11988-12348-12385-12407-12497-13150-13238-13280-13305-13323-13405-13448-13463-13480-13496-13609-13728-13858-13860-13922-13958-14178-14362-14494-14496-14538-14724-15138-15356-15404-15531-15566-15594-15876-15892-15978-16028-16076-16444-16488-16619-16632-16977-17330-17396-17474-17498-17534-17612-17790-17859-17914-17988-18004-18374-18848-18852-18980-18990-19081-19106-19132-19381-19385-19532-19830-19867-20040-20302-20363-20636-20681-21130-21290-21748-21752-21905-22080-22104-22276-22323-22378-22404-22464-22678-22918-23026-23168-23182-23354-24618-24805-24972-24983-25241-25252-25394-25435-25912-26114-26470-26672-26728-26810-26894-27424-27628-28091-28130-28352-28537-28647-28990-29164-29180-29236-29268-29376-29686-29850-29901-31412-31458-32086-32152-32424-32650-32682-34114-34218-35285-35832-36586-36768-37322-37492-38200-38208-38211-38264-38542-38569-39302-39498-39504-39536-40112-40568-40798-41681-42277-42488-43532-44990-45870-47279-51772-51966-52250-52688-54044-55182-57162-58216
357,1278-34370-34373-34375-34424-34426-34461-34462-34464-34467-34469-35923-42287-45194-47131-60467
358,1282-1286-1288-1340-1381-1418-1425-1432-1434-1436-1439-1456-1510-1538-1546-1572-1582-1626-1666-1684-1692-1712-1718-1730-1738-1750-1949-2076-2114-2288-2376-2440-2450-2462-2581-2614-2978-3178-3824-4176-4214-4448-4516-4529-5166-5298-5314-5316-5325-5438-5988-5990-5992-6010-6028-6030-6386-6492-6600-6631-6874-6876-6988-7006-7204-7566-7874-8312-8352-8524-8526-8630-8642-8808-8870-8938-8940-8965-8994-9432-9494-9540-9548-9560-9592-9618-9644-9678-9704-9750-9761-9762-9764-9766-9768-9770-9772-9774-9776-9778-9780-9804-9810-9826-9920-10070-10106-10148-10178-10194-10234-10252-10272-10323-10856-11079-11144-11178-11209-11278-11296-11412-11444-11554-11600-11778-11922-11976-11996-12062-12259-12300-12530-12666-12794-12920-12998-13102-13362-13364-13456-13560-13594-13636-13694-13716-13720-13774-13784-13864-13870-13872-13900-14076-14180-14194-14498-14716-15172-15176-15340-15383-15584-15908-15956-16078-16080-16640-16712-16912-16970-17232-17400-17546-17672-17678-18002-18686-18734-18844-19044-19100-19130-19238-19340-19484-19710-19729-19792-20036-20474-20616-21326-21378-21578-21674-21774-21799-22086-22480-22812-22912-23248-23590-24428-24714-24754-25079-25722-25772-25898-25906-26073-26222-26244-26624-26662-26710-26816-26890-27194-27762-28082-28198-28366-28808-29429-29816-29832-30084-30618-30824-30896-30916-31232-31318-31790-32432-32774-32862-33594-33700-33718-34144-34624-34884-35756-35936-36118-36304-36512-36800-37580-37864-38164-38223-38768-38836-38910-38912-39090-39114-39208-39212-39344-39794-40428-41208-42490-42618-42678-42750-44044-46508-46552-49330-50110-50528-50960-51424-52824-56154-56330-57428-58646-58902-58908-59814
359,1284-1291-1364-1371-1447-1454-1472-1478-1503-1530-1535-1557-1574-1577-1591-1599-1670-1737-1757-1825-1945-2151-2255-2301-2449-2475-2498-2515-2565-2727-3230-3312-3350-3411-3499-3662-3692-3790-3795-3796-3812-3815-3816-3820-3843-3982-4223-4225-4743-5161-5184-5228-5301-5374-5971-5976-5978-6020-6042-6110-6158-6498-6616-6627-6709-6757-6808-6832-6858-6933-7054-7159-7285-7990-7996-8013-8039-8044-8302-8311-8553-8624-8627-8784-8840-8975-9078-9217-9335-9547-9576-9584-9595-9652-9671-9738-9771-9783-9784-9787-9788-9790-9792-9794-9796-9801-9837-9838-9857-9968-10024-10073-10137-10156-10236-10246-10276-10295-10297-10306-10330-10526-10978-11075-11131-11154-11184-11307-11308-11399-11470-11518-11921-12051-12071-12115-12254-12654-12985-12995-13159-13320-13376-13740-13844-13863-13871-13875-13902-14164-14168-14173-14250-14299-14581-15006-15118-15217-15485-15905-15961-15996-16297-16435-16443-16482-16611-16628-16731-16733-16753-16873-16978-17082-17187-17442-17541-17592-17689-17837-17853-17861-18110-18214-18362-18389-18399-18615-18745-18901-18968-20361-20601-20929-21353-21722-22102-22250-22417-22432-22697-22916-24385-24857-25793-26320-26462-26871-26884-27070-27717-28257-28280-28637-29095-29600-30454-30684-30776-30979-31320-31795-31974-32729-32873-32979-33811-34603-34608-35505-35913-35919-35977-36593-36828-37265-37771-37980-37985-38395-38413-38717-38823-38873-39180-39240-39483-42094-42462-45722-46356-46469-46492-47359-48765-49087-49283-49833-50055-50126-50536-50776-50833-51071-52558-52749-52854-53086-53681-56349-58980-59479
360,1342-1544-2630-2752-2765-2806-3276-3487-3525-3810-3889-3928-4372-4745-5486-8549-8581-8651-11219-13656-13859-14611-15148-17092-18273-18338-18815-19324-19752-21248-22686-22755-23818-24131-24962-27552-27783-27825-28711-28902-29126-29263-29342-31204-32093-32442-32832-32901-33369-34200-35524-35844-36712-37597-37793-39238-39538-40533-42780-43011-43229-43287-44274-44808-45196-45299-46027-46299-46769-48799-49659-51441-55096-57398-57501-58247-59748
361,1347
362,1399-1488-2007-5215-7549-11506-12409-13040-24747-36193-36462-43665-51877-52535-52711-53399-56421-59381-60649
363,1421-15113-16581-22386-22666-50154-53180-53763-59600
364,1438
365,1449-11938-11945-11946-24175-39873
366,1465
367,1480-15102-15185-15187-21283-21385-21389-25726
368,1481-4911-5111-6121-6965-11355-12567-12889-14753-14965-15763-16475-17909-18477-18651-19804-20719-32793-34393-35557-41911-41919-42143-42195-43637-48927-48975-52176-54579-56775-58431-59401-60211
369,1490-3990-6140-7342-11230-11794-16638-18222-18800-18886-20024-20127-21196-21468-33932-50160-58852
370,1492-1789-2290-2951-3089-3150-3474-3758-4307-6117-6749-7453-7608-10899-13590-13685-13920-13923-13925-13927-14027-15576-15596-16120-16242-21182-27302-30290-30755-33251-37227-43013-44523-53861
371,1494-1843-1886-1889-2144-2200-2213-2626-3678-3783-7366-8701-13058-18248-18558-24961-24984-27469-31153-34297-34860-39200-51908-55402-57485
372,1499
373,1520-1547-8670-9550-9600-16356-19157-25688-34445-37240-37504
374,1589-1787-2593-4961-5699-5708-5727-5741-5757-5786-5843-5993-5997-6841-10921
375,1593
376,1605-2203-3863-3949-4335-4357-8017-8941-8949-8998-9681-11023-12465-12649-12697-12715-12811-12917-13555-18577-19309-20741-20917-24303-25499-25853-27273-27799-29551-30915-31375-31541-32897-33361-34577-35199-35819-36735-39395-39399-39429-39629-44603-44639-45627-58139-59779-59837
377,1618-1954-2246-3138-5014-5454-7032-8412-8500-10674-10753-11223-12156-13547-13572-14113-17099-19234-19540-20232-20652-22782-23423-24048-24806-26254-26391-26472-27282-30110-32459-33283-34601-35362-35368-36292-38195-42640-46080-48455-51300-55333-60222
378,1628
379,1633-1635-9165-9166-9168-9170-9173-16739-16741-16743-18102
380,1642-5328
381,1646-3248-5930-24458-29516-37343-41132-55941
382,1649-1655-1657-1659-1935-17971-37779
383,1651
384,1652-1844-1902-2156-2275-2595-3234-3266-3269-4814-4817-5340-5612-7392-8889-11360-14739-14774-14877-15504-16058-16807-18034-21046-21477-22476-23920-24166-24171-24198-24603-25439-25686-26215-28228-29122-30411-31881-32740-33249-33983-37238-41682-42058-49280-50510-50513-52213-53261-55682-58587-60492
385,1685-1688-1694-3170-3717-5732-5748-5802-5862-5919-5966-6000-10464-10514-10552-15780-16254-16342-17986-23918-24384-42828-55298-56560-59358-60844
386,1717
387,1766
388,1780-36178-42378-42380-48182
389,1781-1936-5457-7375-16409-17379-20703-21445-22577-26029-30689-48053-49131-50850-52057-52059-52067-52180-52351-52353-52355-52357-52359-52361-52363-52544-52635-52955-54117
390,1791-1909-1925-2001-2263-4675-6175-13485-14279-20249-20251-39965
391,1815-1816-2544-3368-3370-3372-3489-3900-3902-14629-17097-19140-21685-36910
392,1818-2520-2525-2906-2989-3110-3166-13446-15253-19102-39206-56820-60785
393,1820-1822-1824-1826-1828-1830-13970
394,1836-2093-2095-2097-14484-14486-14488-14490-19076-22016-22692-34994-55507
395,1845
396,1849-13615-13845-26751-26753-26757-26823-26941-26947-26949-29467-29751-34627-39781-40041-43855-48259-48583-48585-50843-52285-52287-52291-52293-57699
397,1853-1855-3711
398,1856-1859-1860-2799
399,1866
400,1871-1903-1939-1957-2237-2269-2291-2316-2663-2851-3333-3719-3737-4055-4382-4459-4525-4935-4940-5067-5121-5639-5696-5723-5747-5809-5830-5835-5839-5864-5867-6251-6257-6322-6383-6503-6586-6589-6597-6637-6703-6729-6829-6837-6845-6846-6857-6859-6863-6864-6867-6875-6881-7029-7039-7049-7065-7075-7133-7177-7199-7329-7361-7451-7457-7459-7487-7579-7617-7673-7731-7899-8075-8077-8127-8157-8275-8290-8295-8303-8309-8313-8319-8326-8335-8345-8346-8359-8534-8637-8725-9147-9193-9339-10415-10425-10435-10441-10448-10458-10505-10563-10589-10611-10615-11285-11529-11719-11857-12087-12090-12146-12237-12423-12443-12579-12601-12741-12745-13221-13249-14007-14093-14264-14323-14325-14337-14348-14583-14888-15041-15337-15373-15400-15683-15797-15825-16107-16501-16592-16683-17343-17395-18061-18177-18487-18769-19011-19287-19783-19949-20887-21045-21853-21981-22062-22097-22331-22801-23235-23299-23401-23469-24374-24537-24633-24635-25323-25405-26057-26153-26946-27097-27185-27275-27337-27437-27445-27542-27893-28858-28901-28933-29175-29339-29895-29957-30013-30233-30265-30427-31275-31563-31615-31949-32188-32190-32287-32301-32371-32631-32725-32841-32856-32908-33237-33907-34294-34325-34649-35177-35337-35425-35495-35954-36115-36307-37093-37551-37827-38307-38423-38865-39192-39515-39613-39631-39807-39831-39897-40539-40658-40663-40687-40733-40897-41099-41187-41263-41633-42027-42625-42671-42889-42917-43189-43933-43983-44493-44897-45007-45099-45141-45241-45961-46229-46241-46563-47051-47363-47545-47598-47601-47687-47729-47943-47965-48127-48539-50031-50643-50707-50883-51945-51995-52011-52433-52466-52593-52798-52943-53649-54537-54729-55000-55879-56097-56817-56989-56997-57360-57655-57711-57995-58511-58941-59017-59225-59233-59677-59855
401,1873-1874-1879-1881
402,1882-1928-1930-8761
403,1892-13093-14116-15290-17598-18241-18242
404,1894-1896
405,1910-1912-1914-2099-5504-14338-15465-15480
406,1917-17385-17386-17388-17390-42448
407,1918-1959-1961-2109-2110
408,1926
409,1932
410,1942-1944-1946-1948-1950-1962-1964-1972-1974-1982-1990-1992-2064-2132-2134-2168-2176-2180-2182-2197-2208-2216-2218-2220-2240-2688-2986-3362-3650-3712-4200-4376-4708-5460-6198-6358-6362-6364-6366-6370-6372-6490-6612-6838-6854-8288-8602-9306-10422-10508-10540-10608-10953-11388-11580-12874-12876-13132-13810-13914-13992-14748-14852-14964-15328-15733-16478-16566-16568-16570-16578-16580-16583-16664-16666-16706-16726-16750-17012-17202-17407-17472-17484-17486-17488-17500-17518-17584-17778-17780-18064-18254-18272-18274-18334-18356-18358-18370-18450-18794-18874-18906-18908-18930-18932-19082-19122-19356-19774-19957-20068-20070-20072-20074-20076-20078-20080-20082-20086-20096-20102-20106-20108-20110-20112-20116-20120-20124-20126-20128-20138-20146-20150-20152-20154-20190-20196-20204-20206-20208-20442-21144-21220-21534-21970-22138-22198-22294-22454-22602-22604-22606-22608-22610-22612-22614-22616-22620-22622-22624-22630-22746-22792-22862-22864-22936-23246-23356-23359-23364-23420-23422-23428-23434-23474-23482-23566-23916-24074-24076-24828-25446-25528-25664-25672-26284-27210-27307-27426-28078-28244-29302-29730-29866-30296-31102-33202-33400-33684-33884-34398-36608-37682-38758-38940-40416-40536-41498-42354-43310-43802-44814-45112-45794-46270-46542-46940-48954-50310-50478-52032-52422-52660-52990-52994-52996-53000-53006-53008-53012-53018-53208-53222-53224-53226-53230-53236-53242-53250-53256-53260-53262-53264-53266-53268-53270-53272-53274-53278-53280-53282-53286-53288-53294-53296-53298-53300-53302-53304-53306-53308-53310-53312-53316-53320-54494-54928-54976-55174-55586-55592-55596-55600-55604-55610-56170-56218-56220-56228-56230-56232-56234-56238-56242-56248-56251-56252-56254-56256-56258-56354-56356-56359-56362-56364-56366-56368-56370-56372-56374-56376-56378-56392-56490-56591-56592-56595-56598-56612-56624-56630-56638-56942-56946-56948-56950-56952-56954-56984-57024-57300-57484-57678-57812-57816-57831-57832-57834-57844-57856-57880-57914-58218-58228-58320-58356-58638-58642-58650-58674-58693-58696-58714-58966-58982-58996-59106-59112-59114-59128-59172-59296-59330-60440-60520-60522-60528-60734-60738-60904
411,1955
412,1977-1979-1980-2082
413,1985-8410-16234
414,1991-4785-4889-5092-7014-15402-18311-20828-21557-24945-26647-27369-27683-28033-32032-35873-36811-40225-43881-46355-46499-46819-47647-47689-47809-48089-48656-49136-50814-52047-52961-54156-54161-57228-59770
415,1996
416,1998
417,2003
418,2010-6060-7652-20104-23810-41998
419,2013
420,2014
421,2017-50128-51617-60005-60497
422,2019-3190-4305-4343-4347-4571-5895-11231-11885-11968-13829-14131-18536-18713-18910-18929-20231-20926-22519-22583-22817-22846-23337-24025-24129-24367-26253-26346-26488-26760-26992-27356-27566-31196-31235-32026-32691-32721-33589-34408-34655-36109-36726-36972-38400-38457-41093-43109-45134-45691-46443-47271-47617-49334-49874-50855-50952-50983-52035-53267-55615-55687-56307
423,2037-2850-4320-7820-10738-12158-12460-23626-25671-31043-43650-43896-50681
424,2054
425,2059
426,2066-2068-2128-2130-2150
427,2073-8878-9431-11019-11021-11025-11027-11545-11547-11551
428,2079
429,2088
430,2101
431,2102-3398-3400-3402-3410-3808-4543-4544-4546-6258-6260-6262-18352-18354-18484-18498-18752-18850-19154-20585-21276-21408-23710-24134-27882-29488-33402-42232-43434-48128-51698-52932-53263-53292-53898-54112-54158-55414-57802
432,2103
433,2105-2107
434,2113-5252-6925-13050-13337-33305-44069-45281-46945
435,2115-17996
436,2117-2142
437,2121
438,2125-2126
439,2141
440,2146-2344-6046-6120-8280-8480-8490-8545-8900-10792-11942-33002-33134-33298-47570-47663-47670-48556-49784
441,2153
442,2154-29900-29914
443,2157
444,2161-2163-18799
445,2164
446,2167
447,2171-2173-2174
448,2179-7023-14277-16050-17683-20435-20641-20772-21284-24215-29804-32481-47657-49244
449,2185-2625-5805-11491
450,2188-2191-14069-14083-14085-14088-14090-20312-20411-20647-23878-23880-29109-29110-29112-29669-29763-35666-35684-48119-48122-48131-48724
451,2195-2470-3113-3144-3399-4523-4701-5076-5099-5202-5408-5565-5817-5858-6040-6076-6330-7268-8598-12749-15035-16062-16064-16066-18891-19452-20742-21615-24216-24236-24957-26556-32136-35007-35265-37236-37757-38096-40128-40142-42209-43088-46529-48437-57913-59446-59774
452,2204
453,2210-2215-3753
454,2222
455,2233
456,2239
457,2241-2243-2281-2345-2751-3587-5350-5675-9396-11549-12898-13122-13127-13135-13186-13189-13190-13192-13196-13198-13203-13218-13220-13259-13300-13851-14123-14385-14831-14845-15057-15397-15568-15735-15738-15741-15766-15992-16452-16513-16564-16584-16589-16671-16681-16703-16704-16745-16746-17504-17645-17749-17751-17772-17775-17777-17811-17819-18184-18419-18467-19351-19352-19448-19888-19955-20067-20085-20105-20114-20123-20130-20133-20135-20137-20143-20144-20148-20201-20203-20212-20275-20326-20659-20778-20875-21224-21337-21492-21536-21762-21786-21911-21961-22197-22758-23217-23237-23300-23542-23953-23955-23957-24921-25347-27221-27287-28320-28465-28984-29248-29548-30500-31261-31785-31921-32054-32938-33028-33807-35161-35748-36574-37067-37129-37634-38343-38512-39847-40177-41407-42343-42359-45147-45529-46440-48100-50746-51640-52993-52998-53003-53005-53011-53014-53017-53020-53211-53212-53215-53217-53219-53220-53228-53233-53234-53238-53240-53245-53247-53248-53253-53258-53276-53284-53291-53293-53315-53318-53323-53643-54329-54371-54738-54888-54980-55061-55490-55588-55591-55595-55599-55603-55607-55608-55853-55932-56223-56226-56245-56247-56361-56381-56382-56385-56413-56597-56601-56605-56607-56609-56611-56615-56623-57647-57676-57680-57815-57943-58217-58231-58235-58615-58622-58625-58626-58630-58635-58636-58641-58645-58647-58649-58676-58695-58888-58968-58978-58981-59027-59231-59529-59735-60527-60539
458,2250-3638-4070-4340-4346-4490-4522-4606-5688-5736-5778-5780-5794-5806-5869-5984-5995-7548-8300-8310-8315-8316-8353-8488-8576-8583-9694-10114-10564-10578-10732-10906-11018-12119-12754-13088-15150-15654-18124-18170-18496-18992-20394-22008-22769-26696-30306-31486-33054-35023-35266-37347-39024-43082-54032
459,2253-2254
460,2265
461,2276-2333-2361-2362-2364-2367-2971-3005
462,2282-2514
463,2285-2287-4649-4651-4755-4758-4942-5122-5425-5463-5465-7051-7431-7695-7698-8212-8567-8569-8690-8692-8778-8797-9291-10725-11431-12282-20385-20997-21953-21954-22090-22232-22615-24937-25361-25362-27180-29101-31495-35093-37228-37320-37857-38271-43203-45302-56971-57135-60167
464,2289
465,2300-2302
466,2305-2307-2395-3165-3847-3891-3909-6309-8136-8918-8953-8955-8962-8967-8983-9425-9449-9463-9505-9509-9585-9593-10677-10729-10739-10789-11485-11707-12363-13411-14579-15147-15773-16323-18055-18583-18841-19795-19983-20455-20531-21797-21869-22121-22219-23293-23419-24595-24693-25099-25281-25855-26589-26745-26978-28298-29931-31041-31121-31267-31641-31793-32669-33777-36665-38617-43037-45765-47009-49813-51741-56227-56255-56577
467,2306-2669-5555-8250-16010-16207-21479-21503-24689-25158-27010-30863-33604-37242-39306-40283-58201-58877-59277
468,2308-2324-2340-2830-2994-3298-3426-3668-3922-4290-4670-5450-5912-6476-6956-7022-7060-7090-7466-7614-7842-7900-8138-8510-8810-9144-9458-10800-11438-11546-11610-11670-12702-13438-13990-14276-14378-14690-15672-17270-18238-19630-19666-19668-19680-19800-19844-19908-19918-19932-20220-20324-20358-20370-20434-20502-20518-20656-20770-20788-20804-21116-21128-21240-21246-21298-21302-21360-21362-21544-21570-21594-21712-21828-21834-21988-22064-22082-22328-22346-22374-22478-22482-22484-22494-22498-22502-22638-22714-22716-22766-22774-22856-22940-23006-23520-24192-24258-24268-24282-24386-24408-24518-24534-24554-24558-24628-24890-24902-24926-25096-25102-25148-25236-25264-25292-25398-25414-25552-26032-26088-26136-26194-26334-26366-26402-26540-26754-27354-27382-27546-27682-27788-27796-27848-27980-28000-28006-28038-28258-28306-28358-28430-28712-28872-28976-29234-29454-29574-29582-29660-29670-29780-29878-29954-29990-30230-30246-30458-30460-30506-31658-31762-31912-31914-31924-32008-32012-32014-32016-32068-32120-32160-32256-32396-32508-32552-32564-32590-32632-32676-32814-32820-32922-32980-32988-32990-33038-33062-33130-33206-33350-33424-33560-33646-33656-33802-34192-34256-34364-34586-35036-35088-35090-35136-35344-35346-35354-35432-35508-35572-35630-35722-35856-35894-35944-35946-35948-35950-35952-35994-36220-36256-36750-36850-36918-36922-36950-37150-37160-37278-37324-37426-37514-37516-37524-37538-37628-37640-37818-37872-37878-37928-38104-38122-38158-38170-38184-38242-38304-38322-38336-38384-38488-38614-38680-38688-38926-39000-39232-39286-39300-39522-39540-39588-39626-39716-39802-39832-39834-39868-39882-39928-39996-40070-40232-40362-40378-40382-40412-40424-40426-40474-40480-40544-40646-40654-40822-40898-40936-41126-41166-41182-41260-41316-41350-41362-41396-41582-41654-41704-41758-41764-41872-41906-42130-42180-42260-42446-42506-42508-42512-42616-43138-43176-43180-43190-43224-43262-43320-43408-43514-43568-43592-43718-43736-43814-43874-44284-44316-44374-44466-44472-44508-44534-44560-44612-44620-44646-44710-44758-44976-44986-44998-45014-45046-45116-45506-45582-45584-45592-45600-45614-45616-45698-45732-45850-45862-46104-46138-46184-46204-46232-46302-46338-46348-46464-46476-46532-46592-46600-46638-46640-46700-46772-46788-46806-46912-47106-47162-47352-47364-47370-47396-47474-47476-47546-47548-47664-47732-47756-47788-47790-47938-47940-47944-48032-48050-48116-48132-48186-48204-48248-48252-48310-48518-48528-48612-48660-48888-48960-48962-48978-49068-49108-49208-49302-49352-49676-49730-49822-49850-49856-49862-49914-49960-50022-50044-50100-50106-50324-50364-50386-50394-50420-50456-50486-50498-50584-50646-50684-50740-50836-50844-50894-50942-50964-51046-51108-51288-51298-51308-51326-51328-51404-51406-51448-51576-51598-51982-52002-52116-52130-52220-52224-52262-52284-52418-52648-52652-52888-52962-53172-53182-53186-53390-53424-53456-53628-53636-53640-53664-53754-53756-53926-53938-54034-54188-54254-54462-54466-54468-54486-54526-54550-54668-54688-54704-54866-54970-55032-55150-55160-55168-55192-55462-55466-55474-55486-55494-55498-55698-55790-55824-55846-55850-55904-55980-56042-56086-56198-56290-56456-56464-56658-56826-56900-57006-57114-57132-57156-57218-57232-57266-57268-57312-57384-57408-57412-57430-57634-57662-57744-57792-57876-57896-57930-57996-58124-58140-58232-58236-58310-58342-58456-58692-58694-58758-58764-58930-58976-59082-59110-59328-59392-59520-59598-59624-59986-60178-60192-60234-60236-60270-60360-60364-60554-60560-60566-60602-60610-60662-60766-60884
469,2309-2917
470,2311-10460-10869-11193-18955-19151-22569
471,2312-11298-11522
472,2314-2321-9246
473,2319-2337-2338-2341-3463-3464-4515-4517-4519-4963-5413
474,2323-4375-8559-11892-11895-12086-12619-13610-13628-15329-15423-18512-20992-21000-21025-21037-21043-21189-27989-31526-37212-53160
475,2334-2987-4749-5642-5943-5947-5955-5965-5989-6002-6005-6014-6018-6023-6037-6043-6160-6173-7197-7735-8587-10447-10473-10613-11718-11853-11931-12727-13070-13201-13569-15026-15028-15115-15365-15501-15739-16057-17463-18047-18253-19550-21319-23101-24191-24883-25997-27109-27111-34417-34570-35595-35689-38171-38496-40297-40408-40411-41231-42951-45369-47906-48593-49855-51373-51375-51377-51379-51634-51671-51831-53109-53449-54364-54447-54449-54765-55912-56101-56103-56117-57645-57741-57743-57825-59053-59055-59193-59195-59963-60496
476,2342-3470-4222-4680-5008-6047-7346-8019-8040-8046-8048-8202-8631-8920-8930-8961-9050-10012-10822-10912-11280-11282-11288-11310-11316-11330-11678-12360-12624-12964-13258-13512-13518-13568-13584-13690-14018-14220-16954-16956-16958-17358-18164-18937-19070-19440-19442-21136-21830-22074-22076-22078-22418-22470-22500-22542-23060-24084-24314-24552-24576-24697-24704-24764-25084-25254-25260-25370-25614-25831-26008-26138-26298-26316-26528-26844-26960-26984-27064-27140-27162-27385-27438-27822-27826-27871-28364-28512-28698-29896-29982-30008-30297-30308-30758-30802-30930-31108-31532-32484-32602-33122-33142-33848-34244-34538-35144-35830-36022-36158-36628-37654-37794-37926-38592-38952-39570-39674-40022-40026-40179-40278-40300-40664-41640-41878-42980-43764-44276-44830-44834-45001-46370-46450-47512-47538-47592-47620-47676-47724-48000-48228-48580-48629-49132-51796-52036-52580-53074-54515-55658-55800-57108-57194-57459-57796-58226-58592-58619-58722-59522-59816-60220-60814
477,2369-2393-4653-4974-4976-4978-4980-5063-6992
478,2370
479,2372-2374
480,2377-2379
481,2381-2867-2869-2871-5543-16673-16674-16677-16679-16682-16689-19873-19877-20839-20947-21986-28981-33291-34789-56357
482,2383-2384-2387-2389-2665-3433-3460-3538-3541-3599-3641-3646-4256-5006-6227-7885-7887-18100
483,2394
484,2397-2398-2401-2402-2941-2943
485,2404-8422-15452-24520-24540
486,2405-3391-5553-8071-8388-11941-17773-18997-18999-22099-24281-28161-28226-42973-58938
487,2406
488,2408-2410-2412-2414-2416-2418-2420-2422-6522-6668-6671-6672-6674-6676-6689-6691-6693-6694-6706-6708-6721-6722-6724-6726-6732-6734-6742-6744-6746-6748-12218-13924-18645-19341
489,2425-3952-14946-18429-18430-39138-39140
490,2426-2429-2431-2532-4498-5415-5914-11450-14760-14762-14765-15925-17950
491,2433
492,2434-2436-2438-2441-2442-2445-2446-2456-2458-17989-17990-17993
493,2448-2451-2452-2454-5892-5894-5896-18190
494,2461-2966-2968-2970-14372-22296-32390-43580-49292
495,2463-5529
496,2465-4648-7394
497,2466-4124-6329-8088
498,2468-2534
499,2473
500,2474-2477
501,2479-2556-2564-2848-2972-2975-2976-2979-2981-2983-3112-3120-3750-4871-7930-7932-7934-7936-7940-7942-7945-7948-7952-7954-7956-7958-9304-11354-12304-12784-12787-12789-16296-16524-25558
502,2483-2485-2488-2499-2503-2504-2601-2615-2680-2682-3129-3477-18377-24990
503,2486-5250-8678-8680-10338-10546-18210-18811-44318-44324-44500-50494-54446-54448-54772-55080-59056-59411-59413-59414-60346
504,2495
505,2497-3229-7628
506,2500
507,2506
508,2508-2510-23318
509,2513-2517-24657-47101
510,2522-2574-2576-2578-2580-2584-2586-2588-2590-15570-15610-19648-20564-20576-20596-20602-20632-21176-26330
511,2526-2724-2726-2728-2734-2736-2740-2742-2746-2804-2831-2852-2882-4609-4610-4612-4615-5102-5603-5658-5662
512,2528-6272-7213-7484-7848-11684
